date_start,driver_number,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,lap_number,meeting_key,segments_sector_1,segments_sector_2,segments_sector_3,session_key,st_speed
2025-04-12 12:48:35.688000+00:00,14,,61.938,29.172,145,159,True,,1,1257,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",10009,137
2025-04-12 12:48:36.652000+00:00,22,54.217,75.534,43.149,103,122,False,172.9,3,1257,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",10009,176
2025-04-12 12:48:43.362000+00:00,10,81.639,61.479,27.871,137,155,True,170.989,4,1257,"[2064, 2064, 2064, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2049]",10009,110
2025-04-12 12:48:53.330000+00:00,1,29.692,48.67,31.884,237,186,False,110.246,2,1257,"[2049, 2049, 2049, 2049, 2051, 2049, 2049, 2049, 2051, 2049]","[2051, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2048, 2048]","[2048, 2049, 2049, 2048, 2048, 2048, 2064]",10009,315
2025-04-12 12:49:17.544000+00:00,81,,62.169,34.26,155,81,True,,1,1257,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",10009,206
2025-04-12 12:49:46.032000+00:00,4,47.454,65.029,37.552,134,143,False,150.035,3,1257,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",10009,148
2025-04-12 12:49:54.798000+00:00,27,42.334,59.129,37.012,141,158,False,138.475,3,1257,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",10009,197
2025-04-12 12:50:01.567000+00:00,7,30.352,41.332,23.763,237,267,False,95.447,5,1257,"[2049, 2049, 2049, 2049, 2049, 2048, 2049, 2049, 2048, 2049]","[2049, 2049, 2048, 2048, 2048, 2048, 2048, 2049, 2051, 2051, 2049]","[2048, 2049, 2049, 2049, 2049, 2048, 2048]",10009,316
2025-04-12 12:50:38.629000+00:00,18,30.141,40.871,24.501,240,270,False,95.513,2,1257,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049, 2049, 2051, 2051]","[2049, 2051, 2051, 2049, 2049, 2048, 2048]",10009,316
2025-04-12 12:50:40.632000+00:00,16,,59.541,27.287,138,189,True,423.378,4,1257,"[2064, 2064, 2064, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2048]",10009,90
2025-04-12 12:50:47.499000+00:00,14,29.695,40.721,23.821,240,267,False,94.237,2,1257,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2048]",10009,316
2025-04-12 12:50:58.913000+00:00,10,30.168,40.871,23.689,238,268,False,94.728,5,1257,"[2049, 2049, 2049, 2048, 2048, 2049, 2049, 2049, 2048, 2049]","[2049, 2049, 2048, 2049, 2049, 2048, 2048, 2048, 2051, 2049, 2049]","[2048, 2049, 2049, 2048, 2049, 2048]",10009,318
2025-04-12 12:51:04.885000+00:00,87,,44.907,25.106,224,237,True,496.571,7,1257,"[2064, 2064, 2064, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",10009,201
2025-04-12 12:51:06.211000+00:00,55,,48.469,26.209,200,215,True,,1,1257,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",10009,186
2025-04-12 12:51:14.536000+00:00,23,,49.453,29.326,207,232,True,,1,1257,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",10009,132
2025-04-12 12:51:37.005000+00:00,7,45.309,65.608,39.163,135,131,False,150.08,6,1257,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",10009,229
